#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2E07B
#Date Time: 2025-12-10 09:00:21.557
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Falling Level: 1.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2.1 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -1.5 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
0.2559624522449992,0.0003523990389131072,0.002071933699639799
0.2559624622449992,0.001367989536971706,2.125441711275933e-05
0.2559624722449992,0.0006909292006020391,2.125441930329807e-05
0.2559624822449992,-0.002355842301118825,0.002071933703989171
0.2559624922449992,-0.004387023302560115,0.002071933703962749
0.2559625022449992,-0.001678781967207209,0.0003630342991314938
0.2559625122449992,-0.001340251799077805,0.001730153821425055
0.2559625222449992,0.0006909292006810133,0.003439053225901789
0.2559625322449992,0.001029459370246133,0.001730153826414771
0.2559625422449991,-0.001340251792527108,0.001046594062339379
0.2559625522449992,-0.002355842296757543,0.001730153822020016
0.2559625622449992,-0.001001721632903955,0.001388373939767214
0.2559625722449992,-0.001678781962152864,0.0003630343028919652
0.2559625822449992,0.00102945937067287,0.003780833107735103
0.2559625922449992,0.0006909292037540773,0.001388373942421692
0.2559626022449992,0.0003523990368346863,0.003780833109185359
0.2559626122449992,-0.0006631914637709616,0.001730153824380899
0.2559626222449992,-0.003032902631189052,0.003097273345683014
0.2559626322449992,-0.001340251801777859,-0.0006623053384022175
0.2559626422449992,0.001029459365435176,0.003780833099372542
0.2559626522449992,1.386886874929301e-05,0.002755493464438444
0.2559626622449992,-0.0003246613018418744,0.002071933704730696
0.2559626722449992,-0.00235584229779329,0.002413713584573502
0.2559626822449992,-0.001001721631251502,0.002071933704752611
0.2559626922449992,-0.0006631914643325555,0.002755493466281456
0.2559627022449992,-0.0003246612974784376,0.002755493466193797
0.2559627122449992,-0.001001721631316775,0.001388373942328748
0.2559627222449992,-0.003032902632204785,0.004122612988162456
0.2559627322449992,-0.003032902634212853,0.002071933707095464
0.2559627422449992,-0.0003246613029635227,0.002413713584437506
0.2559627522449991,0.0003523990350207442,0.004122612986477977
0.2559627622449992,-0.001340251802885498,0.002755493465441702
0.2559627722449992,-0.003032902636827467,0.002413713586455058
0.2559627822449992,-0.004387023301175836,0.003097273345507696
0.2559627922449992,-0.003371432798040398,0.001730153824343753
0.2559628022449992,0.0003523990374740228,0.003439053228814114
0.2559628122449992,0.002383580038988112,0.004122612990746216
0.2559628222449992,0.0003523990381824808,0.004464392871772105
0.2559628322449992,-0.005064083630148566,0.00241371358765213
0.2559628422449992,-0.009464975801343593,0.004464392868415735
0.2559628522449992,-0.004725553480505423,0.001388373948710748
0.2559628622449992,-0.002017312120841412,0.003439053228573519
0.2559628722449992,0.002383580032584279,0.003439053228573519
0.2559628822449992,-0.0006631914725521781,0.003439053225103534
0.2559628922449992,-0.005402613803499056,0.00138837394368886
0.2559629022449992,-0.005064083635930766,0.003097273346553386
0.2559629122449992,-0.003709962968140171,0.001730153823074409
0.2559629222449992,-0.001340251799706211,0.003780833108871871
0.2559629322449992,0.001367989535506759,0.004464392871369403
0.2559629422449992,-0.002355842294559199,0.002413713588141714
0.2559629522449992,-0.001001721634327337,0.003780833106995909
0.2559629622449991,-0.00134025179787395,0.002413713588578765
0.2559629722449992,-0.003371432805552332,0.003097273347427487
0.2559629822449992,-0.005064083638136808,0.003097273346750929
0.2559629922449992,-0.005741143968531073,0.002755493466778189
0.2559630022449992,-0.004048493134249961,0.003097273346160475
0.2559630122449992,-0.002694372466166408,0.001730153823801636
0.2559630222449992,-0.0003246612977335257,0.004122612990564215
0.2559630322449992,0.001706519703823686,0.001388373943480126
0.2559630422449992,-0.0006631914617393404,0.004122612987642721
0.2559630522449992,1.386886850775226e-05,0.002413713588048616
0.2559630622449992,-0.005064083625465384,0.003097273345902161
0.2559630722449991,-0.004725553470632578,0.002071933706816634
0.2559630822449992,-0.004725553462023318,0.00378083310971955
0.2559630922449992,-0.001340251796369438,0.003780833109124589
0.2559631022449992,1.386886760609226e-05,0.00343905322732811
0.2559631122449992,-0.00167878196722168,0.002413713586075825
0.2559631222449992,-0.003709962968955468,0.003780833109166242
0.2559631322449992,-0.007095264638145173,0.0003630342995052873
0.2559631422449992,-0.004387023305014626,0.001046594059942127
0.2559631522449992,-0.002694372469515035,0.004806172747828861
0.2559631622449992,-0.0006631914684803145,0.00378083311171239
0.2559631722449991,0.0006909292005116729,0.004122612990021321
0.2559631822449992,-0.0006631914723163333,0.001730153826335816
0.2559631922449992,-0.003709962972527008,0.00309727334604111
0.2559632022449992,-0.005741143967431746,0.002413713583595111
0.2559632122449992,-0.003371432802301,0.001388373941697107
0.2559632222449992,-0.004387023302145694,0.0013883739424649
0.2559632322449992,-0.003371432801388409,0.003097273347296154
0.2559632422449992,-0.002355842300631587,0.002413713585547696
0.2559632522449992,-0.001001721633159197,0.002071933704375242
0.2559632622449992,-0.001001721631629593,0.001046594062249233
0.2559632722449992,-0.005402613794289409,0.002755493462552069
0.2559632822449991,-0.004387023305353153,0.002071933705840886
0.2559632922449992,-0.002694372460843428,0.002413713585926774
0.2559633022449992,1.386886784470809e-05,0.002755493471174187
0.2559633122449992,-0.001001721631201932,0.005489732512859331
0.2559633222449992,-0.0006631914662782751,0.003439053227566374
0.2559633322449992,-0.00303290263428413,0.002071933704277015
0.2559633422449992,-0.003371432801203367,0.003439053228141442
